instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,mixed_type_col
57.0,2011-01-03,1.0,0.0,1.0,11.0,0.0, 1.0 ,1.0,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0,
58.0,2011-01-03,,0.0,1.0,12.0,0.0,1.0,1.0,1.0,0.22,0.2121, 0.35 ,0.2985,13.0,48.0,61.0,297
59.0,2011-01-03,1.0,0.0,1.0,13.0,0.0,1.0,1.0,1.0,0.24,0.2121,0.35,0.2836,8.0,53.0, 61.0 ,
60.0,2011-01-03,1.0,0.0,1.0,14.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3, 0.2836 ,11.0,66.0,77.0,858
61.0,2011-01-03,1.0,0.0,1.0,15.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0,unknown
62.0,2011-01-03,1.0,0.0,1.0,16.0,0.0,1.0,1.0,1.0,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0,
63.0,2011-01-03,1.0,0.0,1.0,17.0,0.0,1.0,1.0,1.0,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0,190
64.0,2011-01-03,1.0,0.0,1.0,18.0,0.0,1.0, 1.0 ,1.0,0.24,0.2576,N/A,0.1045,9.0, 148.0 ,157.0,79
65.0,2011-01-03,1.0,0.0,1.0,644.0,0.0,1.0,1.0,1.0,0.2,0.2576,0.47,0.0,8.0,102.0,110.0,614
66.0, 2011-01-03 ,1.0,0.0,1.0,20.0,0.0,NULL,1.0,1.0,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0,610
67.0,2011-01-03, 1.0 ,0.0,1.0,21.0,0.0,1.0,1.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0,302
68.0,2011-01-03,1.0,0.0,1.0,22.0,0.0,1.0,1.0, 1.0 ,0.14, 0.1515 ,0.69,0.1343,0.0,20.0,20.0,unknown
69.0,2011-01-03, 1.0 ,0.0,1.0,23.0,0.0,1.0,1.0,1.0, 0.18 ,0.2121,0.55,0.1045,1.0,11.0,12.0,bad
70.0,2011-01-04,1.0,N/A,1.0,0.0,0.0,2.0, 1.0 ,1.0,0.16,0.1818,0.55, 0.1045 ,0.0,5.0,5.0,unknown
71.0,2011-01-04,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.16,595.1818,0.59,0.1045,0.0,2.0,2.0,43
72.0,,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.14,0.1515, 0.63 ,0.1343,0.0,1.0,1.0,bad
73.0,2011-01-04,1.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0,124
74.0,2011-01-04,1.0,0.0,1.0,5.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.68,0.1045,0.0,4.0,4.0,54
75.0, 2011-01-04 ,1.0,0.0,1.0,6.0,0.0,2.0,1.0,1.0,699.12,0.1515,0.74,0.1045,0.0,36.0,36.0,694
76.0,2011-01-04,1.0,0.0,1.0,7.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0,499
77.0,2011-01-04,1.0,0.0,1.0,8.0,0.0,2.0,1.0,1.0,0.14,0.1515,0.69,,2.0,177.0,179.0,126
78.0,2011-01-04,1.0,0.0,1.0,9.0,0.0,2.0,1.0,,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0,99
79.0,2011-01-04,1.0,0.0,1.0, 10.0 ,0.0,2.0,1.0,2.0,0.16,0.1364,0.69,0.3284,55.0,37.0,42.0,51
80.0,2011-01-04,1.0,0.0,1.0,11.0,0.0,2.0,1.0,1.0,0.22,0.2121,,0.2985,7.0,50.0,57.0,923
81.0,2011-01-04,1.0,0.0,1.0,12.0,0.0,2.0, 1.0 ,1.0,0.22,0.2273,0.51, 0.1642 ,12.0,66.0,78.0,bad
82.0,2011-01-04,1.0,0.0,1.0,13.0,0.0,2.0,1.0,1.0,0.24, 0.2273 ,,0.194,18.0,79.0, 97.0 ,
83.0,2011-01-04,1.0,0.0,1.0,14.0,0.0,2.0,1.0,1.0,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0,unknown
84.0,2011-01-04,1.0,0.0,1.0, 15.0 ,,2.0,1.0, 1.0 ,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0,
,2011-01-04,1.0,0.0,1.0,16.0,0.0,2.0,1.0,1.0,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0,379
86.0,2011-01-04,1.0,0.0,1.0,17.0,0.0,2.0,1.0,1.0,0.28,0.2727,0.48,0.2239,10.0,202.0,212.0,
87.0,2011-01-04,1.0,0.0,1.0,18.0,0.0,2.0,1.0,,0.26, 0.2576 ,0.48,0.194,3.0,179.0,182.0,
88.0,2011-01-04,1.0,0.0, 1.0 ,19.0,0.0,2.0,1.0,1.0, 0.24 ,0.2576,0.48,0.1045,2.0,110.0,112.0,155
89.0,2011-01-04,1.0,0.0,1.0,20.0,0.0,2.0,1.0,1.0,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0,765
90.0,2011-01-04,1.0,0.0,1.0,21.0,0.0,2.0,1.0,1.0,0.22,0.2727,0.64,0.0,0.0,48.0,48.0,62
91.0,2011-01-04,1.0,0.0,1.0,22.0,0.0,2.0,1.0,1.0,0.22,0.2576,0.64,575.0896,1.0,34.0,35.0,679
92.0,2011-01-04,1.0,0.0,1.0,23.0,0.0,2.0,1.0,1.0,0.2,0.2273,0.69,0.0896,2.0,9.0,11.0,157
794.0,2011-01-05, 1.0 ,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.2,0.2576, 0.64 , 0.0 ,0.0, 6.0 ,6.0,794
94.0,2011-01-05,1.0,0.0,1.0, 1.0 ,0.0,3.0,1.0,1.0,0.16, 0.197 ,0.74,0.0896,0.0,6.0,6.0,475
95.0,2011-01-05,1.0,0.0,1.0,2.0,0.0,,1.0,1.0,0.16,0.197,0.74,0.0896,0.0,2.0,2.0,294
96.0,2011-01-05,1.0, 0.0 ,1.0,4.0,0.0,3.0, 1.0 , 1.0 , 0.24 ,0.2273,0.48,0.2239,0.0,2.0,2.0,unknown
97.0,2011-01-05,1.0,0.0,1.0,,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0,154
,2011-01-05,1.0,0.0,1.0,6.0,0.0,3.0,,1.0,0.2,0.197,0.47,0.2239,0.0,33.0,33.0,
99.0,2011-01-05,1.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,0.18,0.1818,0.43,0.194,1.0,87.0,88.0,559
100.0,2011-01-05,1.0,0.0,1.0,8.0,0.0, 3.0 ,1.0,1.0,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0,bad
101.0,2011-01-05,1.0,0.0,1.0,9.0,0.0,3.0,1.0,1.0,0.22,0.197,0.37,0.3284,6.0,109.0,5405.0,bad
102.0,2011-01-05,1.0,0.0,1.0,10.0,0.0,3.0,1.0,1.0,0.22,0.197,0.37,0.3284,4.0,53.0,57.0,unknown
103.0,2011-01-05, 1.0 ,0.0,1.0,11.0,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.3284, 12.0 ,34.0,46.0,196
104.0,2011-01-05,1.0,0.0,1.0,12.0,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.3284,5.0,74.0,79.0,215
105.0,2011-01-05,1.0,0.0,1.0,13.0,0.0,3.0,1.0,1.0,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0,
106.0,2011-01-05,1.0,0.0,1.0,14.0,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.194, 10.0 ,52.0,62.0,93
107.0,2011-01-05,1.0,0.0,1.0,15.0,0.0, 3.0 ,1.0,1.0,0.3,0.2879,0.28,0.194,7.0,55.0,62.0,414
108.0,2011-01-05,1.0,0.0,330.0,16.0,0.0,3.0,1.0,11.0,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0,
109.0,2011-01-05,1.0,0.0,1.0,17.0,0.0,3.0,1.0,1.0,0.24,0.2273,0.38,0.194, 4.0 ,186.0,190.0,unknown
110.0,2011-01-05, 1.0 ,0.0,1.0,18.0,0.0,3.0,1.0, 1.0 ,0.24, 0.2424 ,0.38,0.1343,3.0,166.0,169.0,664
111.0,2011-01-05,1.0,0.0,1.0,19.0,0.0,3.0,1.0,1.0,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0,680
112.0,2011-01-05,1.0,0.0,1.0,20.0,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0,391
113.0,2011-01-05,1.0,0.0,1.0,21.0,0.0,3.0,?,1.0,0.2,0.197,0.51,0.194,264.0,40.0,43.0,797
114.0,2011-01-05,error,0.0,1.0,22.0,0.0,3.0,1.0,1.0,0.18,0.197,0.55,0.1343, 1.0 ,41.0,42.0,545
115.0,2011-01-05,1.0,0.0,1.0,23.0,0.0,3.0, 1.0 ,1.0,0.2,0.2576, 0.47 ,0.0,1.0,,19.0,301
116.0,2011-01-06,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.18,0.2424,0.55,0.0, 0.0 ,11.0,11.0,731
117.0,2011-01-06,1.0, 0.0 ,1.0,1.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,0.0,4.0,4.0,unknown
118.0, 2011-01-06 ,1.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64, 0.0 ,0.0,2.0,2.0,140
119.0,2011-01-06,1.0,0.0,1.0,4.0,0.0,4.0,1.0,2.0,0.16,0.197,0.64,0.0896,0.0,1.0,1.0,bad
120.0,2011-01-06,1.0,160.0,1.0,5.0,0.0,4.0,1.0,2.0,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0,
121.0,2011-01-06,1.0,0.0,1.0,6.0,0.0,4.0,1.0,2.0,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0,543
122.0, 2011-01-06 ,1.0,0.0,1.0,7.0,0.0,4.0,1.0,2.0,0.16,0.2273,0.59,0.0,0.0,95.0, 95.0 ,unknown
 123.0 ,2011-01-06,1.0, 0.0 ,1.0,8.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.59,0.0,3.0,216.0,219.0,610
124.0,2011-01-06,1.0,0.0,1.0,9.0,0.0,4.0,1.0,2.0,0.18,0.2424,0.51,0.0,6.0,116.0,122.0,unknown
125.0,2011-01-06,1.0,0.0,1.0,10.0,0.0,4.0, 1.0 ,1.0,0.2,0.2576,0.47,0.0,3.0,42.0,45.0,967
126.0,2011-01-06,1.0,0.0,1.0,11.0,0.0,4.0,22.0,1.0,0.22,0.2576,0.44,0.0896,2.0,57.0, 59.0 ,850
127.0,2011-01-06,1.0,0.0,1.0,12.0,0.0,4.0,1.0,1.0,0.26,0.2879,0.35,0.0,6.0, 78.0 ,84.0,823
128.0,2011-01-06,1.0,0.0,1.0, 13.0 ,0.0,4.0,1.0,1.0,0.26,0.2727,0.35,0.1045,12.0,55.0,67.0,bad
129.0,2011-01-06,1.0,0.0,1.0,14.0,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0,985
130.0,2011-01-06,1.0,0.0,1.0,,0.0, 4.0 ,1.0,1.0,0.28,0.2727,0.36,0.0,8.0,54.0,62.0,756
131.0,2011-01-06,1.0,0.0,1.0,16.0,0.0,4.0, 1.0 ,1.0,0.26,0.2576,0.38,0.1642,528.0,74.0,86.0,unknown
132.0,2011-01-06,1.0,0.0,1.0,17.0,0.0,4.0,1.0,1.0,0.22,22.5027,0.51,0.1642,9.0,163.0,172.0,930
133.0,2011-01-06,1.0,0.0,1.0,18.0,0.0,4.0,1.0,1.0,0.22,0.2273, 0.51 ,0.1343,5.0,158.0,163.0,382
134.0,2011-01-06,1.0,0.0,1.0,19.0,0.0,4.0,1.0,1.0,0.22,0.2576,0.55,,3.0,109.0,112.0,520
135.0,2011-01-06,1.0,0.0,1.0,20.0,0.0,4.0,1.0,1.0,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0,27
136.0,2011-01-06,1.0,0.0,1.0,21.0,0.0,4.0, 1.0 , 2.0 ,0.22,0.2121,0.55,0.2239,0.0,48.0,48.0,72
137.0,2011-01-06,1.0,0.0,1.0,22.0,0.0,4.0,1.0,2.0,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0,93
138.0,2011-01-06,1.0,0.0,1.0,23.0,0.0,4.0,1.0,2.0,0.2,0.197,0.59,0.194,4.0,19.0,23.0,559
139.0,2011-01-07,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.2,0.197,0.64,0.194,4.0,13.0,17.0,229
140.0,2011-01-07,1.0,0.0,,1.0,0.0,5.0,1.0, 2.0 ,0.2,0.197,0.69,0.2239,2.0,5.0,7.0,495
141.0,2011-01-07,1.0,405.0,1.0,2.0,0.0,5.0,1.0,2.0,0.2,0.197,0.69,0.2239,0.0,1.0,1.0,490
142.0,2011-01-07,1.0,0.0,1.0,4.0,0.0,,1.0,2.0,0.2, 0.2121 ,0.69,0.1343,0.0,1.0,1.0,701
143.0,2011-01-07,1.0,0.0,1.0, 5.0 ,0.0,5.0,1.0,3.0,0.22,0.2727,0.55,0.0,0.0,5.0,5.0,bad
144.0,2011-01-07,1.0,0.0,1.0,6.0,0.0,5.0,1.0,2.0,0.2,0.2576, 0.69 ,0.0,8.0,26.0,34.0,521
145.0,2011-01-07,1.0, 0.0 ,1.0,7.0,0.0,5.0,1.0,1.0,0.2,0.2121, 0.69 ,0.1343,8.0,,84.0,234
146.0,2011-01-07,1.0,0.0,1.0,8.0,0.0,5.0,1.0,1.0, 0.2 ,0.197,0.51,0.2537,20.0,190.0,210.0,431
147.0,2011-01-07,1.0,0.0,1.0,9.0,0.0,5.0,1.0,1.0,0.2,0.1818,0.47,0.2985, 9.0 ,125.0,134.0,unknown
148.0,2011-01-07,1.0,0.0,1.0,10.0, 0.0 ,invalid,1.0,1.0,0.22,0.197,0.37,0.3284,16.0,47.0,63.0,289
149.0,2011-01-07,1.0,0.0,1.0,11.0,0.0,5.0,1.0,2.0,0.2,0.197,0.4,0.2239, 19.0 ,48.0,67.0,unknown
150.0,2011-01-07, 1.0 ,0.0,1.0,12.0,0.0,5.0,1.0,2.0,0.2,0.197,0.37,0.2537,9.0,50.0,59.0,285
151.0,2011-01-07,1.0,0.0,1.0,13.0,0.0,5.0,1.0,2.0,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0,bad
152.0,2011-01-07,1.0,,1.0,14.0,0.0,5.0,1.0,2.0,0.2,0.197,0.4,0.2537,7.0,43.0,50.0,233
153.0,2011-01-07,1.0,0.0,1.0,15.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.1642,9.0,,72.0,789
154.0,2011-01-07,1.0,0.0,1.0,16.0,0.0,5.0,1.0,2.0,0.2,0.2121, 0.37 ,0.1642,5.0,82.0,87.0,815
155.0,2011-01-07,1.0,0.0,1.0,17.0,0.0,5.0,1.0,2.0,0.2,0.2576,0.37,0.0,9.0,178.0,187.0,unknown
156.0,2011-01-07,1.0,0.0,1.0,18.0,0.0,5.0,1.0,1.0,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0,662
157.0,2011-01-07,1.0,0.0,1.0,19.0,0.0,5.0,1.0,1.0,0.16,0.197,0.55,0.0896,3.0,92.0,95.0,522
158.0, 2011-01-07 ,1.0,0.0,1.0,20.0,error,5.0,1.0,1.0,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0,980
159.0,2011-01-07,1.0,0.0, 1.0 , 21.0 ,0.0,5.0,1.0,1.0,12.959999999999999,0.197,0.47,0.1343,0.0,39.0,39.0,474
160.0,2011-01-07,1.0,0.0,1.0,22.0,0.0,5.0,1.0,2.0,0.18,0.197,0.43,0.1642,2.0,34.0,36.0,
161.0,2011-01-07,1.0,0.0,1.0,23.0, 0.0 ,5.0, 1.0 ,2.0,0.18,0.197,0.51,0.1642,1.0,14.0,15.0,unknown
162.0,2011-01-08,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.18,0.197,0.51,0.1642,1.0,24.0,25.0,625
163.0,2011-01-08,1.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.18,0.2121,0.55,0.0896,1.0, 15.0 ,16.0,unknown
164.0,2011-01-08,1.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0,0.18,0.2424,0.55,0.0,3.0,13.0,16.0,382
165.0,2011-01-08,1.0,0.0,1.0,3.0,0.0,,0.0,3.0,0.18,0.197,0.55,0.1642,0.0, 7.0 ,7.0,
166.0,2011-01-08,1.0,0.0,1.0,4.0,0.0,6.0,0.0,3.0,0.18,0.197,0.55,0.1642,0.0,42.0,1.0,643
167.0,2011-01-08,1.0,0.0,1.0,5.0,0.0,6.0,0.0,2.0,0.16,0.1667,0.74,0.1642,0.0,5.0, 5.0 ,968
168.0,2011-01-08,,0.0,1.0,6.0,0.0,6.0,0.0,2.0,0.16,0.1667,0.74,0.1642,0.0,2.0,2.0,unknown
 169.0 ,2011-01-08,1.0,0.0,1.0,7.0,0.0, 6.0 ,0.0,2.0,0.16,0.1818,0.74,0.1045,1.0,8.0,9.0,599
170.0,2011-01-08,1.0,0.0,1.0,8.0,0.0,6.0,0.0,3.0,0.16,0.1818,0.93,0.1045,0.0,133.0,15.0,322
171.0,2011-01-08,1.0,0.0,1.0, 9.0 ,0.0,6.0,0.0,3.0,0.16,0.1818,0.93,0.1045,0.0,20.0, 20.0 ,bad
172.0,2011-01-08,1.0,0.0,1.0, 10.0 ,0.0,6.0,0.0,2.0,0.18,0.197,0.8,0.1642,5.0,56.0,61.0,3
173.0,2011-01-08,1.0,0.0,1.0,11.0,0.0,6.0,0.0,2.0,0.2,0.1818,0.69,0.3881,2.0,60.0,62.0,736
174.0,2011-01-08,1.0,0.0,1.0,12.0,0.0,6.0,0.0,2.0,0.2,0.1818, 0.59 ,0.3582,8.0,90.0,98.0,139
175.0,2011-01-08,1.0,0.0,1.0,13.0,0.0,6.0,0.0,1.0,0.2,0.1818,0.44,0.3284,7.0,95.0, 102.0 ,bad
176.0,2011-01-08,1.0,0.0,1.0,14.0,0.0,6.0,0.0,1.0,0.2,0.1667,0.32,0.4925,12.0,83.0,95.0,881
177.0,2011-01-08,1.0,0.0,1.0,15.0,0.0,6.0,0.0,1.0,0.2,0.1667,0.32,0.4478,5.0,69.0,74.0,672
178.0,2011-01-08,1.0,0.0,1.0, 16.0 ,0.0,6.0,0.0, 1.0 ,0.18,0.1364,0.29,0.4478,8.0,68.0,76.0,37
179.0,2011-01-08,1.0,0.0,1.0, 17.0 ,0.0,6.0,0.0,1.0,0.16,0.1212,0.37,0.5522,5.0,64.0,69.0,626
180.0,2011-01-08,1.0,0.0,1.0,18.0,943.0,6.0,0.0,1.0,0.14,0.1212,0.39,0.2985,3.0,52.0,55.0,117
